0	a00	äà	2	1	9	1	2	9	1	9	1.2	0.8	5	0	59	56
1	a01	îñ	4	1	10	5	1	6	1	7	1.1	0.9	10	3	60	57
2	a02	òN	1	1	11	2	2	9	1	9	1.2	0.8	5	0	61	58
3	a03	íW	4	1	12	0	3	9	0	9	1.1	0.9	5	0	62	59
4	a04	ëR	0	1	13	2	2	6	3	9	1.2	0.8	10	0	63	60
5	a05	ê∞	2	1	14	5	2	6	1	9	1.2	0.8	10	3	64	61
6	a06	îJ	1	1	15	0	1	7	1	9	1.2	0.8	5	0	65	62
7	a07	èŒ	1	1	16	1	2	0	1	9	1.2	0.8	5	0	66	63
8	a08	åé	0	1	17	1	1	9	1	9	1.2	0.8	0	0	67	64
9	a09	åÉ	3	1	18	3	0	7	2	9	1.2	0.8	0	0	68	65
10	a10	êÎ	0	1	19	0	3	9	2	9	1.2	0.8	0	0	69	66
11	a11	ë^	4	1	20	1	1	6	1	9	1.2	0.8	3	0	70	67
12	a12	äÃ	1	1	21	5	3	9	9	7	1.1	0.9	5	3	71	68
13	a13	êT	0	1	22	5	0	7	0	9	1.2	0.8	5	3	72	69
14	a14	Í£	4	1	23	1	2	5	1	9	1.2	0.8	0	0	73	70
15	a15	ì∆	3	1	24	0	0	7	1	9	1.2	0.8	0	0	74	71
16	a16	ëè	4	1	25	5	1	6	1	7	1.1	0.9	0	0	75	72
17	a17	å´	0	1	26	5	2	6	1	9	1.2	0.8	10	3	76	73
18	a18	óù	0	1	27	0	2	5	1	9	1.1	0.9	0	0	77	74
19	a19	ë”	0	1	28	0	0	7	0	9	1.2	0.8	0	0	78	75
20	a20	äø	3	1	29	3	0	9	0	9	1.2	0.8	0	0	79	76
21	s00	óD	1	0	4	1	2	9	1	9	1.2	0.8	0	0	59	52
22	s01	óz	0	0	5	3	2	9	1	9	1.2	0.8	10	0	60	53
23	s02	ëÓ	2	0	7	3	1	7	12	9	1.2	0.8	0	0	62	54
24	s03	îÿ	0	0	6	3	0	6	2	9	1.2	0.8	0	0	61	55
